class_name	english_name	bottom_text	top_text
CrediCor	CrediCor	Gain 57 M€.	Effect: When you play a card with a printed cost of 20 M€ or more, or use a standard project with a printed cost of 20 M€ or more, gain 4 M€.
Ecoline	Ecoline	Gain 36 M€ and 3 plants. Increase your plant production 2 steps.	Effect: When you convert plants to greenery, pay 1 plant less.
InterplanetaryCinematics	Interplanetary Cinematics	Gain 30 M€ and 20 steel.	Effect: When you play an event card, gain 2 M€.
Inventrix	Inventrix	Gain 45 M€. As your first action, draw 3 cards.	Effect: When you play a card, you may treat a global parameter requirement as if it is 2 steps lower or higher.
MiningGuild	Mining Guild	Gain 30 M€ and 5 steel. Increase your steel production 1 step.	Effect: When you place a tile on an area with a titanium or steel placement bonus, increase your steel production 1 step.
Phobolog	PhoboLog	Gain 23 M€ and 10 titanium.	Effect: When you use titanium as money, it is worth 1 M€ more.
TharsisRepublic	Tharsis Republic	Gain 40 M€. As your first action, place a city tile.	Effect: When any city tile is placed on Mars, increase your M€ production 1 step. When you place a city tile, gain 3 M€.
ThorGate	ThorGate	Gain 48 M€. Increase your energy production 1 step.	Effect: When you play a power tag or use the Power Plant standard project, pay 3 M€ less.
UnitedNationsMarsInitiative	United Nations Mars Initiative	Gain 40 M€.	Action: (Your terraform rating must have been raised this generation.) Spend 3 M€ to raise your terraform rating 1 step.
SaturnSystems	Saturn Systems	Gain 42 M€. Increase your titanium production 1 step.	Effect: When any Jovian tag is played, increase your M€ production 1 step.
Teractor	Teractor	Gain 60 M€.	Effect: When you play an Earth tag, pay 3 M€ less.
Aphrodite	Aphrodite	Gain 47 M€. Increase your plant production 1 step.	Effect: When Venus is raised 1 step, gain 2 M€.
Celestic	Celestic	Gain 42 M€. As your first action, draw 2 cards with floater icons. 1 VP per 3 floaters on this card.	Action: Add 1 floater to any card.
Manutech	Manutech	Gain 35 M€. Increase your steel production 1 step.	Effect: For each step you increase one of your productions, gain 1 resource of that type.
MorningStarInc	Morning Star Inc.	Gain 50 M€. As your first action, draw 3 Venus cards.	Effect: When you play a card, you may treat a Venus requirement as if it is 2 steps lower or higher.
Viron	Viron	Gain 48 M€.	Action: Use an action from a card with an action-used marker.
CheungShingMars	Cheung Shing Mars	Gain 44 M€. Increase your M€ production 3 steps.	Effect: When you play a building tag, pay 2 M€ less.
PointLuna	Point Luna	Gain 38 M€. Increase your titanium production 1 step.	Effect: When you play an Earth tag, draw 1 card.
RobinsonIndustries	Robinson Industries	Gain 47 M€.	Action: Spend 4 M€ to increase one of your lowest productions 1 step.
ValleyTrust	Valley Trust	Gain 37 M€. As your first action, draw 3 Prelude cards. Discard 2 of them, then play the remaining card.	Effect: When you play a science tag, pay 2 M€ less.
Vitor	Vitor	Gain 45 M€. As your first action, fund an award for free.	Effect: When you play a card with a NON-NEGATIVE VP icon, gain 3 M€.
Arklight	Arklight	Gain 45 M€. Increase your M€ production 2 steps. 1 VP per 2 animals on this card.	Effect: When you play an animal tag or a plant tag, add 1 animal to this card.
Polyphemos	Polyphemos	Gain 50 M€ and 5 titanium. Increase your M€ production 5 steps.	Effect: When you buy a card, pay 2 M€ extra.
Poseidon	Poseidon	Gain 45 M€. As your first action, place a colony.	Effect: When any colony is placed, increase your M€ production 1 step.
LakefrontResorts	Lakefront Resorts	Gain 54 M€.	Effect: When any ocean tile is placed, increase your M€ production 1 step. When you create an adjacency between a tile and an existing ocean tile, gain 1 M€.
Pristar	Pristar	Gain 53 M€. Lower your terraform rating 2 steps. 1 VP per preservation resource on this card.	Effect: In the production phase, if your terraform rating has not been raised this generation, add 1 preservation resource to this card and gain 6 M€.
TerraLabsResearch	TerraLabs Research	Gain 14 M€. Lower your terraform rating 1 step.	Effect: When you buy a card, pay 2 M€ less.
UtopiaInvest	Utopia Invest	Gain 40 M€. Increase your steel production 1 step and your titanium production 1 step.	Action: Decrease one of your productions 1 step to gain 4 resources of that kind.
Recyclon	Recyclon	Gain 38 M€. Increase your steel production 1 step.	Effect: When you play a building tag, add 1 microbe to this card or remove 2 microbes from this card to increase your plant production 1 step.
SpliceTacticalGenomics	Splice Tactical Genomics	Gain 44 M€. As your first action, draw a microbe card.	Effect: When any microbe tag is played, that player gains 2 M€, or adds a microbe to that card, and you gain 2 M€.
Factorum	Factorum	Gain 37 M€. Increase your steel production 1 step.	Action: Increase your energy production 1 step (you must have no energy resources), or spend 3 M€ to draw a building card.
MonsInsurance	Mons Insurance	Gain 48 M€. Increase your M€ production 4 steps. All opponents decrease their M€ production 2 steps. This does not trigger the effect below.	Effect: When any player has their resources removed or production decreased by another player (including you), pay 3 M€ to the victim, or as much as possible.
Philares	Philares	Gain 47 M€. As your first action, place a greenery tile.	Effect: When an adjacency between one of your tiles and an opponent's tile is created, gain a standard resource.
AstroDrill	AstroDrill	Gain 35 M€. Add 3 asteroids to this card.	Action: Add 1 asteroid to any card or gain a standard resource, or remove 1 asteroid from this card to gain 3 titanium.
PharmacyUnion	Pharmacy Union	Gain 54 M€. Draw a science card.	Effect: When any microbe tag is played, add 1 disease to this card and lose 4 M€ or as much as possible. When you play a science tag, remove 1 disease and raise your terraform rating 1 step, or, if there are no diseases here, you may either raise your terraform rating 3 steps and place this card in your event pile, or do nothing.
NirgalEnterprises	Nirgal Enterprises	Gain 30 M€. Increase your energy production 1 step, your plant production 1 step, and your steel production 1 step.	Effect: When you fund an award or claim a milestone, the cost is 0 M€.
PalladinShipping	Palladin Shipping	Gain 36 M€ and 5 titanium.	Action: Spend 2 titanium to raise temperature 1 step. / Effect: When you play a space event card, gain 1 titanium.
SagittaFrontierServices	Sagitta Frontier Services	Gain 31 M€. Increase your energy production 1 step and your M€ production 2 steps. Draw 1 card with no tags.	Effect: When you play a card with no tags, including this, gain 4 M€. When you play a card with exactly 1 tag, gain 1 M€. Event cards count as having an event tag.
EcoTec	EcoTec	Gain 42 M€. Increase your plant production 1 step.	Effect: When you play an animal tag, a plant tag, or a microbe tag, gain 1 plant or add 1 microbe to any card.
Spire	Spire	Gain 50 M€. As your first action, draw 4 cards, then discard 3 cards.	Effect: When you play a card with at least 2 tags, including the event tag, add 1 science resource to this card. Science resources on this card may be used as 2 M€ each when you pay for a standard project.
AppliedScience	Applied Science	Add 6 science resources to this card.	Action: Remove 1 science resource from this card to add 1 resource to a card with 1 or more resources on it or gain a standard resource.
AtmosphericEnhancers	Atmospheric Enhancers	Raise temperature 2 steps, raise oxygen 2 steps, or raise Venus 2 steps. Draw 2 cards with floater icons.
BoardOfDirectors	Board of Directors	Add 4 director resources to this card.	Action: Draw 1 Prelude card. Either discard it, or spend 12 M€ and remove 1 director resource from this card to play it.
ColonyTradeHub	Colony Trade Hub	Increase your energy production 1 step. Gain 2 titanium.	Effect: When any colony is placed, gain 2 M€.
EarlyColonization	Early Colonization	Increase all colony tile tracks 2 steps. Place a colony. Gain 3 energy.
FloatingTradeHub	Floating Trade Hub		Action: Add 2 floaters to any card, or remove any number of floaters from this card to gain the same number of one standard resource.
FocusedOrganization	Focused Organization	Draw 1 card and gain 1 standard resource.	Action: Discard 1 card and spend 1 standard resource to draw 1 card and gain 1 standard resource.
IndustrialComplex	Industrial Complex	Remove 18 M€. Increase each of your productions below 1 to 1.
MainBeltAsteroids	Main Belt Asteroids	Remove 5 M€. 1 VP per 2 asteroids on this card.	Action: Add 1 asteroid to any card. / Effect: When you add an asteroid to this card, gain 1 titanium.
NobelPrize	Nobel Prize	Gain 5 M€. Draw 2 cards with requirements. 2 VPs.
OldMiningColony	Old Mining Colony	Increase your titanium production 1 step. Place a colony. Discard 1 card.
PlanetaryAlliance	Planetary Alliance	Raise your terraform rating 2 steps. Draw a Jovian card and a Venus card.
ProjectEden	Project Eden	Place an ocean tile. Place a city tile. Place a greenery tile. Discard 3 cards.
Recession	Recession	All opponents lose 5 M€ and decrease their M€ production 1 step. Gain 10 M€.
SoilBacteria	Soil Bacteria	Draw 2 microbe cards. Gain 3 plants.	Effect: When you play a plant tag or a microbe tag, gain 1 plant.
SpaceLanes	Space Lanes	Gain 3 titanium.	Effect: When you play a Jovian tag, an Earth tag, or a Venus tag, pay 2 M€ less.
SuitableInfrastructure	Suitable Infrastructure	Gain 5 steel.	Effect: Once per action you take, gain 2 M€ if you increase any production.
TerraformingDeal	Terraforming Deal		Effect: Each step your terraform rating is raised, gain 2 M€.
VenusContract	Venus Contract	Draw a Venus card. Raise your terraform rating 1 step.	Effect: When you raise Venus 1 step, gain 3 M€.
VenusL1Shade	Venus L1 Shade	Raise Venus 3 steps.
WorldGovernmentAdvisor	World Government Advisor	Raise your terraform rating 2 steps. Draw 1 card.	Action: Raise 1 global parameter without gaining terraform rating or other bonuses.
CeresTechMarket	Ceres Tech Market	Gain 2 M€ for each colony you own. 1 VP.	Action: Discard any number of cards from your hand to gain 2 M€ for each discarded card.
CloudTourism	Cloud Tourism	Increase your M€ production 1 step for each pair of Earth and Venus tags you have. 1 VP per 3 floaters on this card.	Action: Add 1 floater to this card.
FloatingRefinery	Floating Refinery	Add 1 floater to this card for each Venus tag you have.	Action: Add 1 floater to this card, or remove 2 floaters from any of your cards to gain 1 titanium and 2 M€.
IshtarExpedition	Ishtar Expedition	Requires that Venus is 10% or higher. Gain 3 titanium and draw 2 Venus cards.
MicrogravityNutrition	Microgravity Nutrition	Increase your M€ production 1 step for each colony you own. 1 VP.
SoilStudies	Soil Studies	Requires that temperature is -4°C or lower. Gain 1 plant for each Venus tag you have. Gain 1 plant for each plant tag you have. Gain 1 plant for each colony you own.
StratosphericExpedition	Stratospheric Expedition	Add 2 floaters to any card. Draw 2 Venus cards. 1 VP.
UnexpectedApplication	Unexpected Application	Discard 1 card. Raise Venus 1 step.
VenusAllies	Venus Allies	Raise Venus 2 steps. Gain 4 M€ for each colony you own. 2 VPs.
VenusOrbitalSurvey	Venus Orbital Survey		Action: Reveal the top 2 cards. Take any Venus cards into your hand for free. Buy or discard each other card.
VenusShuttles	Venus Shuttles	Add 2 floaters to a Venus card.	Action: Spend 12 M€ to raise Venus 1 step. This cost is reduced by 1 M€ for each Venus tag you have.
VenusTradeHub	Venus Trade Hub	Requires 2 Venus tags. 1 VP.	Effect: When you trade, gain 3 M€.
AlliedBank	Allied Bank	Increase your M€ production 4 steps. Gain 3 M€.
AquiferTurbines	Aquifer Turbines	Place an ocean tile. Increase your energy production 2 steps. Remove 3 M€.
Biofuels	Biofuels	Increase your plant production 1 step and your energy production 1 step. Gain 2 plants.
Biolab	Biolab	Increase your plant production 1 step. Draw 3 cards.
BiosphereSupport	Biosphere Support	Decrease your M€ production 1 step and increase your plant production 2 steps.
BusinessEmpire	Business Empire	Increase your M€ production 6 steps. Remove 6 M€.
DomeFarming	Dome Farming	Increase your plant production 1 step and your M€ production 2 steps.
Donation	Donation	Gain 21 M€.
EarlySettlement	Early Settlement	Place a city tile. Increase your plant production 1 step.
EcologyExperts	Ecology Experts	Increase your plant production 1 step. Play a card from hand, ignoring global requirements.
ExcentricSponsor	Excentric Sponsor	Play a card from hand, reducing its cost by 25 M€.
ExperimentalForest	Experimental Forest	Place a greenery tile. Draw 2 plant cards.
GalileanMining	Galilean Mining	Increase your titanium production 2 steps. Remove 5 M€.
GreatAquifer	Great Aquifer	Place 2 ocean tiles.
HugeAsteroid	Huge Asteroid	Raise temperature 3 steps. Remove 5 M€.
IoResearchOutpost	Io Research Outpost	Increase your titanium production 1 step. Draw 1 card.
Loan	Loan	Decrease your M€ production 2 steps. Gain 30 M€.
MartianIndustries	Martian Industries	Increase your energy production 1 step and your steel production 1 step. Gain 6 M€.
MetalRichAsteroid	Metal-Rich Asteroid	Raise temperature 1 step. Gain 4 titanium and 4 steel.
MetalsCompany	Metals Company	Increase your M€ production 1 step, your steel production 1 step, and your titanium production 1 step.
MiningOperations	Mining Operations	Increase your steel production 2 steps. Gain 4 steel.
Mohole	Mohole	Increase your heat production 3 steps. Gain 3 heat.
MoholeExcavation	Mohole Excavation	Increase your steel production 1 step and your heat production 2 steps. Gain 2 heat.
NitrogenShipment	Nitrogen Shipment	Raise your terraform rating 1 step. Increase your plant production 1 step. Gain 5 M€.
OrbitalConstructionYard	Orbital Construction Yard	Increase your titanium production 1 step. Gain 4 titanium.
PolarIndustries	Polar Industries	Place an ocean tile. Increase your heat production 2 steps.
PowerGeneration	Power Generation	Increase your energy production 3 steps.
ResearchNetwork	Research Network	Draw 3 cards, and increase your M€ production 1 step. After being played, when you perform an action, the wild tag is any tag of your choice.
SelfSufficientSettlement	Self-Sufficient Settlement	Place a city tile. Increase your M€ production 2 steps.
SmeltingPlant	Smelting Plant	Raise oxygen 2 steps. Gain 5 steel.
