class_name	english_name	bottom_text	top_text
CrediCor	CrediCor	Gain 57 M€.	Effect: When you play a card with a printed cost of 20 M€ or more or you use a standard project with a printed cost of 20 M€ or more, gain 4 M€.
Ecoline	Ecoline	Gain 36 M€ and 3 plants. Increase your plant production 2 steps.	Effect: When you convert plants to greenery, you pay 1 plant less for it.
InterplanetaryCinematics	Interplanetary Cinematics	Gain 30 M€ and 20 steel.	Effect: When you play an event card, gain 2 M€.
Inventrix	Inventrix	Gain 45 M€. As your first action, draw 3 project cards.	Effect: When you play a card, you may treat its global parameter requirement as if it were 2 steps lower or higher.
MiningGuild	Mining Guild	Gain 30 M€ and 5 steel. Increase your steel production 1 step.	Effect: When you place a tile on an area with a titanium or steel placement bonus, increase your steel production 1 step.
Phobolog	PhoboLog	Gain 23 M€ and 10 titanium.	Effect: Each titanium you spend is worth 1 M€ extra.
TharsisRepublic	Tharsis Republic	Gain 40 M€. As your first action, place a city tile. If this is a solo game, increase your M€ production 2 steps, or do nothing.	Effect: When any city tile is placed on Mars, increase your M€ production 1 step. When you place a city tile, gain 3 M€.
ThorGate	ThorGate	Gain 48 M€. Increase your energy production 1 step.	Effect: When you play a power tag or use the Power Plant standard project, you pay 3 M€ less.
UnitedNationsMarsInitiative	United Nations Mars Initiative	Gain 40 M€. [CLASS HasRaisedTr]. [CLASS TrWatcher].	Action: If your terraform rating has been raised this generation, spend 3 M€ to raise your terraform rating 1 step.
ColonizerTrainingCamp	Colonizer Training Camp	Oxygen must be 5% or less. 2 VPs.
DeepWellHeating	Deep Well Heating	Increase your energy production 1 step. Raise temperature 1 step.
CloudSeeding	Cloud Seeding	Requires 3 ocean tiles. Decrease your M€ production 1 step and any player's heat production 1 step and increase your plant production 2 steps.
SearchForLife	Search For Life	Oxygen must be 6% or less. 3 VPs if you have 1 or more science resources on this card.	Action: Spend 1 M€ to add up to 1 science resource to this card.
MartianRails	Martian Rails		Action: Spend 1 energy to gain 1 M€ for each city tile on Mars.
Capital	Capital	Requires 4 ocean tiles. Place a city tile, then [CapitalMarker<CityTile>]. Decrease your energy production 2 steps and increase your M€ production 5 steps. Worth 1 VP per [Adjacency<CityTile(HAS CapitalMarker), OceanTile>]. [CLASS CapitalMarker].
AsteroidCard	Asteroid	Raise temperature 1 step. Gain 2 titanium. Remove up to 3 plants from any player.
Comet	Comet	Raise temperature 1 step. Place an ocean tile. Remove up to 3 plants from any player.
BigAsteroid	Big Asteroid	Raise temperature 2 steps. Gain 4 titanium. Remove up to 4 plants from any player.
WaterImportFromEuropa	Water Import From Europa	Worth 1 VP per Jovian tag you have.	Action: Spend 12 M€ (titanium may be used) to place an ocean tile.
EquatorialMagnetizer	Equatorial Magnetizer		Action: Decrease your energy production 1 step to raise your terraform rating 1 step.
